no,version,original,"ivod_timecode
（右下角會議時間）"
第二十八條,"[民進黨黨團再修正動議] 
行政院向立法院提出預算案編製經過報告之質詢，應於報告首日登記，詢答時間不得逾十五分鐘。前項質詢以即問即答方式為之。但經質詢委員同意，得採綜合答復。審計長所提總決算審核報告之諮詢，應於報告日中午前登記。其詢答時間及答復方式，依前二項規定處理。
行政院或審計部對於質詢或諮詢未及答復部分，應於十五日內以書面答復。但內容牽涉過廣者，得延長十日。","行政院向立法院提出預算案編製經過報告之質詢，應於報告首日登記，詢答時間不得逾十五分鐘。前項質詢以即問即答方式為之。但經質詢委員同意，得採綜合答復。審計長所提總決算審核報告之諮詢，應於報告日中午前登記;其詢答時間及答復方式，依前二項規定處理。
行政院或審計部對於質詢或諮詢未及答復部分，應於二十日內以書面答復。但內容牽涉過廣者，得延長五日。",
第二十八條之三,"[三黨達成共識，不予增訂]
民進黨黨團再修正動議：不予增訂
國民黨黨團及台灣民眾黨黨團共提再修正動議：不予增訂",（無此條文）,11:41:55
第二十八條之四,"[三黨達成共識，不予增訂]
民進黨黨團再修正動議：不予增訂
國民黨黨團及台灣民眾黨黨團共提再修正動議：不予增訂",（無此條文）,12:02:07
第二十九條,"[國民黨黨團台灣民眾黨黨團共同所提再修正動議]
立法院依憲法第一百零四條、憲法增修條文第五條第一項、第六條第二項、第七條第二項規定行使同意權時，不經討論，交付全院委員會審查，審查後提出院會以記名投票表決，經超過全體立法委員二分之一之同意為通過。
 立法院依法律規定行使前項規定以外之人事同意權時，不經討論，交付相關委員會審查，審查後提出院會以記名投票表決，經超過全體立法委員二分之一之同意為通過。
 前二項人事同意權案交付全院委員會或相關委員會審查，自交付審查之日起，期間不得少於一個月，且應於審查過程中舉行公聽會，邀集相關學者專家、公民團體及社會公正人士共同參與審查，並應於院會表決之日十日前，擬具審查報告。",,
第二十九條之一,"[國民黨黨團台灣民眾黨黨團共同所提再修正動議]
被提名人之學歷、最高學歷學位論文、經歷、財產、稅務、刑案紀錄表及其他審查所需之相關資料，應由提名機關於提名後七日內送交立法院參考。
 立法院各黨團或未參加黨團之委員，得以書面要求被提名人答復與其資格及適任性有關之問題並提出相關之資料；被提名人之準備時間，不得少於十日。
 被提名人應於提出書面答復及相關資料之同時，提出結文，並應於結文內記載已據實答復，絕無匿、飾、增、減，並已提出相關資料，絕無隱匿資料或提供虛偽資料。但就特定問題之答復及資料之提出，如有行政訴訟法所定得拒絕證言之事由並提出書面釋明者，不在此限。",,
第二十九條之二,"[三黨達成共識，不予增訂]
民進黨黨團再修正動議：不予增訂
國民黨黨團及台灣民眾黨黨團共提再修正動議：不予增訂",,
第三十條,"[國民黨黨團台灣民眾黨黨團共同所提再修正動議] 
全院委員會或相關委員會就被提名人之資格及是否適任之相關事項進行審查與詢問，由立法院咨請總統或函請提名機關通知被提名人列席說明與答詢。
被提名人有數人者，前項之說明與答詢，應分別為之。
 被提名人列席說明與答詢前，應當場具結，並於結文內記載當據實答復，絕無匿、飾、增、減等語。但就特定問題之答復，如有行政訴訟法所定得拒絕證言之事由並當場釋明者，不在此限。
 全院委員會應就司法院院長副院長、考試院院長副院長及監察院院長副院長與其他被提名人分開審查。",,
第三十條之一,"[國民黨黨團台灣民眾黨黨團共同所提再修正動議] 
被提名人拒絕依第二十九條之一第二項規定答復問題或提出相關資料，拒絕依該條第三項規定提出結文、或拒絕依前條第三項規定具結者，委員會應不予審查並報告院會。
 被提名人違反第二十九條之一第三項或前條第三項規定，於提出結文或具結後答復不實、隱匿資料或提供虛偽資料者，委員會應不予審查並報告院會。經院會決議者，得處新臺幣二萬元以上二十萬元以下之罰鍰。
 前項罰鍰處分，受處分者如有不服，得於處分書送達之次日起二個月內，向立法院所在地之行政法院提起行政訴訟。",,
第三十一條,"[民進黨黨團再修正動議]  同意權行使之結果，由立法院咨復總統或函復行政院院長。如被提名人未獲同意，總統或行政院長應另提他人咨請立法院同意。",,
第四十四條,"[國民黨黨團台灣民眾黨黨團共同所提再修正動議]  全院委員會審查後，提出院會以記名投票表決，如經全體立法委員三分之二以上決議，向司法院大法官提出彈劾案。",,
第四十五條,"[國民黨黨團台灣民眾黨黨團共同所提再修正動議]  立法院為有效行使憲法所賦予之職權，得經院會決議，設調查委員會，或得經委員會之決議，設調查專案小組，對相關議案或與立法委員職權相關之事項行使調查權及調閱權。
 調查委員會或調查專案小組得要求有關機關就特定議案涉及事項提供參考資料，並得舉行聽證，要求有關人員出席提供證言及資料、物件；聽證相關事項依第九章之一之規定。
 調查委員會之名稱、調查事項、目的、方法及成員人數，由院會議決之。調查專案小組之名稱、調查事項、目的、方法及成員人數，由委員會議決之。",,
第四十六條,"[國民黨黨團台灣民眾黨黨團共同所提再修正動議]  調查委員會或調查專案小組之設立，均應於立法院會期中為之。但行使調查權及文件調閱權之時間不在此限。
 調查委員會及調查專案小組於議案調查完畢並提出調查報告、調閱報告及處理意見後即行解散，或於該屆立法委員任期屆滿時自動解散。",,
第四十六條之一,"[國民黨黨團台灣民眾黨黨團共同所提再修正動議]  調查委員會之成員，由立法院各黨團依其在院會之席次比例推派之，並得視實際情況予以改派。
 調查專案小組之成員，由各該委員會委員推派之。
 調查委員會及調查專案小組應置召集委員一人，由所屬成員互選之。",,
第四十六條之二,"[民進黨黨團再修正動議]  立法院行使調查權，不得逾越調查目的、事項與範圍，並應尊重其他國家機關受憲法保障獨立行使之職權，及行政首長就特定機密決定不予公開之行政特權。
 裁判確定前之訴訟案件，就其偵查或審判所為之處置及卷證，立法院不得行使調查權。尚未確定之訴願事件，或其他依法應獨立行使職權之機關本於職權處理中之案件，亦同。
 調查委員會成立後，其他依法應獨立行使職權之機關亦本於職權進行處理相關案件時，調查委員會得停止調查。",,
第四十七條,"[國民黨黨團台灣民眾黨黨團共同所提再修正動議]  調查委員會或調查專案小組為行使調查權，得要求政府機關、部隊、法人、團體或社會上有關係人員於五日內提供相關文件、資料及檔案。但相關文件、資料及檔案原本業經司法機關或監察機關先為調取時，應敘明理由，並提供複本。
 調查委員會或調查專案小組為行使調查權於必要時，得詢問相關人員，命其出席為證言，但應於指定期日五日前，通知相關人員於指定地點接受詢問。
 被調閱文件、資料及檔案之政府機關、部隊、法人、團體或社會上有關係人員在調閱期間，應指派專人將調閱資料送達立法院指定場所，以供參閱，由立法院指派專人負責保管。",,
第四十八條,"[國民黨黨團台灣民眾黨黨團共同所提再修正動議]  政府機關或公務人員違反本法規定，於立法院調閱文件、資料及檔案時拒絕、拖延或隱匿不提供者，得經立法院院會之決議，將其移送監察院依法提出糾正、糾舉或彈劾。
 法人、人民團體或社會上有關係人員違反本法規定，於立法院調閱文件、資料及檔案時拒絕、拖延或隱匿不提供者，得經立法院院會之決議，處新臺幣一萬元以上十萬元以下之罰鍰，並得按次處罰至改正為止。
 前項罰鍰處分，受處分者如有不服，得於處分書送達之次日起二個月內，向立法院所在地之行政法院提起行政訴訟。",,
第四十九條,"[通過] 國民黨黨團台灣民眾黨黨團共同所提再修正動議
調查委員會所需之工作人員，由秘書長指派之。 調查專案小組所需之工作人員，由立法院各委員會或主辦委員會就各該委員會人員中指派之。 調查委員會及調查專案小組於必要時，得請求院長指派專業人員協助之。",,
第五十條,"[通過] 國民黨黨團台灣民眾黨黨團共同所提再修正動議
立法院所調取之文件、資料及檔案，限由各該調查委員會、調查專案小組之委員或院長指派之專業人員親自查閱之。 前項查閱人員，對機密文件不得抄錄、攝影、影印、誦讀、錄音或為其他複製行為，亦不得將文件攜離查閱場所。",,
第五十條之一,"[通過] 國民黨黨團台灣民眾黨黨團共同所提再修正動議
調查委員會或調查專案小組至少需三分之一以上委員出席時，始得依第四十七條第二項規定詢問相關人員。 詢問須出以懇切之態度，不得有強暴、脅迫或以其他易導致心理強制的狀態，並不得強迫證人為不利己之供述。 詢問前，應令其宣誓當據實答復，絕無匿、飾、增、減，告以立法院成立本調查委員會或調查專案小組之任務，並告知其有拒絕證言之權利及事由。 前項拒絕證言之事由，準用行政訴訟法相關規定。 接受調查詢問之人員，認為調查委員會或調查專案小組已逾越其職權範圍或涉及法律明定保護之個人隱私而與公共事務無關者，應陳明理由，經會議主席裁示同意後，得拒絕證言或交付文件、資料及檔案。",,
第五十條之二,"[通過] 國民黨黨團台灣民眾黨黨團共同所提再修正動議
接受調查詢問之人員，經主席同意，於必要時得協同律師或相關專業人員到場協助之。",,
第五十條之三,"[三黨達成共識，不予增訂]
民進黨黨團再修正動議：不予增訂
國民黨黨團及台灣民眾黨黨團共提再修正動議：不予增訂",,
第五十條之四,"[三黨達成共識，不予增訂]
民進黨黨團再修正動議：不予增訂
國民黨黨團及台灣民眾黨黨團共提再修正動議：不予增訂",,
第五十條之五,"[三黨達成共識，不予增訂]
民進黨黨團再修正動議：不予增訂
國民黨黨團及台灣民眾黨黨團共提再修正動議：不予增訂",,
第五十條之六,"[三黨達成共識，不予增訂]
民進黨黨團再修正動議：不予增訂
國民黨黨團及台灣民眾黨黨團共提再修正動議：不予增訂",,
第五十一條,"[通過] 國民黨黨團台灣民眾黨黨團共同所提再修正動議
調查委員會或調查專案小組應於調查、調閱終結後三十日內，分向院會或委員會提出調查、調閱報告書及處理意見，作為處理該特定議案或與立法委員職權相關事項之依據。",,
第五十二條,"[通過] 國民黨黨團台灣民眾黨黨團共同所提再修正動議
調查、調閱報告書及處理意見未提出前，其調查人員、工作人員、專業人員、保管人員或查閱人員負有保密之義務，不得對調查、調閱內容或處理情形予以揭露。但涉及外交、國防或其他依法令應秘密事項者，於調查、調閱報告及處理意見提出後，仍應依相關法令規定保密，並依秘密會議處理之。",,
第五十三條,"[通過] 國民黨黨團台灣民眾黨黨團共同所提再修正動議
調查委員會或調查專案小組未提出調查、調閱報告書及處理意見前，院會或委員會對該特定議案不得為最後之決議。但已逾院會或各該委員會議決之時限時，不在此限。 前項調查專案小組之調查、調閱報告書及處理意見，應經該委員會議決後提報院會處理。",,
第五十三條之一,"[通過] 民進黨黨團再修正動議
調查報告或期中報告之內容，不受司法審查。 檢察機關、法院、訴願或其他行政救濟之先行程序審議機關對案件之偵查、審判或審議，不受調查報告或期中報告之拘束。",,
第五十三條之二,"[通過] 民進黨黨團再修正動議
調查委員會之會議，本法未規定者，準用立法院組織法、立法院各委員會組織法、立法委員行為法及立法院議事規則相關之規定。",,
第五十三條之三,"[通過] 民進黨黨團再修正動議
調查委員會之成員、專業人員、工作人員、保管人員、幕僚人員或其他相關人員，有關利益迴避事項，準用立法委員行為法及公職人員利益衝突迴避法之規定。",,
第五十九條之一,"[通過] 國民黨黨團台灣民眾黨黨團共同所提再修正動議
各委員會、調查委員會、調查專案小組為審查院會交付之議案、全院委員會為補選副總統、彈劾總統副總統或審查行使同意權案，得依憲法第六十七條第二項之規定舉行聽證會。 涉及外交、國防或其他依法令應秘密事項者，以秘密會議行之。 除前項規定外，聽證會應公開舉行，但有下列情形，應部分或全部不公開： 一、個人隱私遭受不當侵害之虞。 二、個人生命、身體或其他自由遭受威脅之虞。 三、營業秘密遭受不當侵害之虞。 以秘密會議或不公開方式行之者，所有與會者對於應秘密事項負有保密之義務。 違反前項有關保密義務之規定者，適用國家機密保護法、刑法及其他有關法令之規定處罰。",,
第五十九條之二,"[通過] 國民黨黨團台灣民眾黨黨團共同所提再修正動議
聽證會須經全院委員會、各委員會、調查委員會或調查專案小組召集委員同意，或經前列委員會、專案小組全體委員三分之一以上之連署或附議，並經院會議決，方得舉行。 前項議案於院會審議時，不受本法第七十一條之一有關黨團協商逾一個月無法達成共識始能處理規定之限制。",,
第五十九條之三,"[通過] 國民黨黨團台灣民眾黨黨團共同所提再修正動議
由調查委員會、調查專案小組、委員會舉行之聽證會，以召集委員為主席，調查委員會、調查專案小組、委員會成員，得出席聽證會；由全院委員會舉行者，以院長為主席，全體立法委員均得出席。聽證會得邀請政府人員及社會上有關係人員出席表達意見與證言。 應邀出席人員非有正當理由，不得拒絕出席。",,
第五十九條之四,"[通過] 國民黨黨團台灣民眾黨黨團共同所提再修正動議
受邀出席之政府人員或與調查事件相關之社會上有關係人員於必要時，經主席同意，得由律師、相關專業人員或其他輔佐人在場協助。",,
第五十九條之五,"[通過] 國民黨黨團台灣民眾黨黨團共同所提再修正動議
出席人員有下列情形之一者，得拒絕證言或表達意見： 一、涉及國家安全、國防及外交之國家機密事項。 二、逾越聽證會調查之目的所提出之詰問或對質。 三、依行政訴訟法之規定得拒絕證言之事項。 四、涉及受法律明定保護之個人隱私或其他秘密事項。 無正當理由缺席、拒絕表達意見、拒絕證言、拒絕提供資料者，得經立法院院會決議，處新臺幣一萬以上十萬元以下之罰鍰，並得按次處罰。 前項罰鍰處分，受處分者如有不服，得於處分書送達之次日起二個月內，向立法院所在地之行政法院提起行政訴訟。 出席聽證會之政府人員為證言時，為虛偽陳述者，由主席或質詢委員提議，出席委員五人以上連署或附議，經院會決議，移送彈劾或懲戒。 出席聽證會之政府人員為證言時，為虛偽陳述者，依法追訴其刑事責任。 出席聽證會之社會上有關係人員為證言時，為虛偽陳述者，得經立法院院會決議，處新臺幣二萬元以上二十萬元以下之罰鍰。 前項罰鍰處分，受處分者如有不服，得於處分送達之次日起二個月內，向立法院所在地之行政法院提起行政訴訟。",,
第五十九條之六,"[通過] 國民黨黨團台灣民眾黨黨團共同所提再修正動議
舉行聽證會，應於開會日五日前，將開會通知、議程等相關資料，以書面送達出席人員，並請其提供口頭或書面意見。 同一議案舉行多次聽證會時，得由聽證會主席於會中宣告下次舉行日期，不受五日之限制，但仍應發出書面通知。 聽證會之通知應以書面載明下列事項，準用行政程序法有關送達之規定： 一、會議主題。 二、受邀出席之有關機關或人民之姓名或名稱及其住居所、事務所或營業所。 三、聽證會舉行之時間、地點。 四、聽證會之程序。 五、表達意見或證言之事項。 六、本章提及之相關權利及義務。 七、本章相關或其他應注意或遵行事項。 立法院對應邀出席之專業人員，得酌發出席費。",,
第五十九條之七,"[通過] 國民黨黨團台灣民眾黨黨團共同所提再修正動議
聽證會，應作成聽證會紀錄。 前項聽證會紀錄應載明出席人員所為陳述或發問之要旨及其提出之文書、電磁紀錄、證據，並記明出席人員於聽證會進行中聲明異議之事由及主席對異議之處理。 聽證會，應全程連續錄音錄影。 聽證會紀錄當場製作完成者，由陳述者及發問人當場簽名；未當場製作完成者，由主席指定日期、場所，供陳述者及發問人閱覽，並簽名。 前項情形，陳述者或發問人拒絕簽名或未於指定日期、場所閱覽者，應記明事由。 陳述者或發問人對聽證會紀錄之記載有異議者，得即時提出。主席認異議有理由者，應予更正或補充；無理由者，應記明其異議。",,
第五十九條之八,"[通過] 國民黨黨團台灣民眾黨黨團共同所提再修正動議
聽證會報告應於聽證會終結後十五日內提出，經主席核定簽名後，除不公開之部分外，送交本院全體委員，並將得公開之報告刊登公報。",,
第五十九條之九,"[通過] 國民黨黨團台灣民眾黨黨團共同所提再修正動議
聽證會報告作為審查該特定議案之重要參考。 前項報告有關出席受調查者，涉及違法或虛偽陳述應予載明。",,
第五十三條之十三,"[三黨達成共識，不予增訂]
民進黨黨團再修正動議：不予增訂
國民黨黨團及台灣民眾黨黨團共提再修正動議：不予增訂",,
第五十三條之十四,"[三黨達成共識，不予增訂]
民進黨黨團再修正動議：不予增訂
國民黨黨團及台灣民眾黨黨團共提再修正動議：不予增訂",,
第五十四條,"[三黨達成共識，不予增訂]
民進黨黨團再修正動議：不予增訂
國民黨黨團及台灣民眾黨黨團共提再修正動議：不予增訂",,
第五十六條,"[三黨達成共識，不予增訂]
民進黨黨團再修正動議：不予增訂
國民黨黨團及台灣民眾黨黨團共提再修正動議：不予增訂",,
第五十六條之一,"[三黨達成共識，不予增訂]
民進黨黨團再修正動議：不予增訂
國民黨黨團及台灣民眾黨黨團共提再修正動議：不予增訂",,
第五十六條之二,"[三黨達成共識，不予增訂]
民進黨黨團再修正動議：不予增訂
國民黨黨團及台灣民眾黨黨團共提再修正動議：不予增訂",,
第五十七條,"[通過] 民進黨黨團再修正動議
舉行公聽會之委員會，應於開會日五日前，將開會通知、議程等相關資料，以書面送達出席人員，並請其提供口頭或書面意見。 同一議案舉行多次公聽會時，得由公聽會主席於會中宣告下次舉行日期，不受五日之限制，但仍應發出書面通知。 立法院對應邀出席人員酌發出席費。",,
第五十七條之一,"[三黨達成共識，不予增訂]
民進黨黨團再修正動議：不予增訂
國民黨黨團及台灣民眾黨黨團共提再修正動議：不予增訂",,
第五十八條,"[三黨達成共識，不予增訂]
民進黨黨團再修正動議：不予增訂
國民黨黨團及台灣民眾黨黨團共提再修正動議：不予增訂",,
第五十九條,"[三黨達成共識，不予增訂]
民進黨黨團再修正動議：不予增訂
國民黨黨團及台灣民眾黨黨團共提再修正動議：不予增訂",,
第七十四條之一,"[通過] 民進黨黨團再修正動議
依第八條所定逕付二讀之議案，應交付黨團協商，並由提案委員或所屬黨團負責召集，並適用本法第七十條至第七十四條之規定。",,
"第七十四條之二
","[三黨達成共識，不予增訂]
民進黨黨團再修正動議：不予增訂
國民黨黨團及台灣民眾黨黨團共提再修正動議：不予增訂",,
第七十四條之三,"[三黨達成共識，不予增訂]
民進黨黨團再修正動議：不予增訂
國民黨黨團及台灣民眾黨黨團共提再修正動議：不予增訂",,
第七十四條之四,"[三黨達成共識，不予增訂]
民進黨黨團再修正動議：不予增訂
國民黨黨團及台灣民眾黨黨團共提再修正動議：不予增訂",,
第七十四條之五,"[三黨達成共識，不予增訂]
民進黨黨團再修正動議：不予增訂
國民黨黨團及台灣民眾黨黨團共提再修正動議：不予增訂",,
第七十五條之一,"[三黨達成共識，不予增訂]
民進黨黨團再修正動議：不予增訂
國民黨黨團及台灣民眾黨黨團共提再修正動議：不予增訂",,
第七十五條之二,"[三黨達成共識，不予增訂]
民進黨黨團再修正動議：不予增訂
國民黨黨團及台灣民眾黨黨團共提再修正動議：不予增訂",,
